TransactionNo,Items,Daypart,DayType
1,Bread,Morning,Weekend
2,Scandinavian,Morning,Weekend
2,Scandinavian,Morning,Weekend
3,Hot chocolate,Morning,Weekend
3,Jam,Morning,Weekend
3,Cookies,Morning,Weekend
4,Muffin,Morning,Weekend
5,Coffee,Morning,Weekend
5,Pastry,Morning,Weekend
5,Bread,Morning,Weekend
6,Medialuna,Morning,Weekend
6,Pastry,Morning,Weekend
6,Muffin,Morning,Weekend
7,Medialuna,Morning,Weekend
7,Pastry,Morning,Weekend
7,Coffee,Morning,Weekend
7,Tea,Morning,Weekend
8,Pastry,Morning,Weekend
8,Bread,Morning,Weekend
9,Bread,Morning,Weekend
9,Muffin,Morning,Weekend
10,Scandinavian,Morning,Weekend
10,Medialuna,Morning,Weekend
11,Bread,Morning,Weekend
11,Medialuna,Morning,Weekend
11,Bread,Morning,Weekend
12,Jam,Morning,Weekend
12,Coffee,Morning,Weekend
12,Tartine,Morning,Weekend
12,Pastry,Morning,Weekend
12,Tea,Morning,Weekend
13,Basket,Morning,Weekend
13,Bread,Morning,Weekend
13,Coffee,Morning,Weekend
14,Bread,Morning,Weekend
14,Medialuna,Morning,Weekend
14,Pastry,Morning,Weekend
15,Mineral water,Morning,Weekend
15,Scandinavian,Morning,Weekend
16,Bread,Morning,Weekend
16,Medialuna,Morning,Weekend
16,Coffee,Morning,Weekend
17,Hot chocolate,Morning,Weekend
18,Farm House,Morning,Weekend
19,Farm House,Morning,Weekend
19,Bread,Morning,Weekend
20,Bread,Morning,Weekend
20,Medialuna,Morning,Weekend
21,Coffee,Morning,Weekend
21,Coffee,Morning,Weekend
21,Medialuna,Morning,Weekend
21,Bread,Morning,Weekend
22,Jam,Morning,Weekend
23,Scandinavian,Morning,Weekend
23,Muffin,Morning,Weekend
24,Bread,Morning,Weekend
25,Scandinavian,Morning,Weekend
26,Fudge,Morning,Weekend
27,Scandinavian,Morning,Weekend
28,Coffee,Morning,Weekend
28,Bread,Morning,Weekend
